Species	Genus	Order	Vore	Conservation	BodyWt	BrainWt	TotalSleep	Awake	NonDreaming	Dreaming	LifeSpan	Gestation	Predation	Exposure	Danger
African elephant	Loxodonta	Proboscidea	herbi	vu	6654	5712	3.3	20.7			38.6	645	3	5	3
African giant pouched rat	Cricetomys	Rodentia	omni		1	6.6	8.3	15.7	6.3	2	4.5	42	3	1	3
African striped mouse	Rhabdomys	Rodentia	omni		0.044	0	8.7	15.3							
Arctic fox	Vulpes	Carnivora	carni		3.38	44.5	12.5	11.5			14	60	1	1	1
Arctic ground squirrel	Spermophilus	Rodentia	herbi	lc	0.92	5.7	16.6	7.4				25	5	2	3
Asian elephant	Elephas	Proboscidea	herbi	en	2547	4603	3.9	20.1	2.1	1.8	69	624	3	5	4
Baboon	Papio	Primates	omni		25.235	180	9.4	14.6	9.1	0.7	27	180	4	4	4
Big brown bat	Eptesicus	Chiroptera	insecti	lc	0.023	0.3	19.7	4.3	15.8	3.9	19	35	1	1	1
Bottle-nosed dolphin	Tursiops	Cetacea	carni		173.33	0	5.2	18.8							
Brazilian tapir	Tapirus	Perissodactyla	herbi	vu	207.501	169	4.4	19.6	5.2	1	30.4	392	4	5	4
Caspian seal	Phoca	Carnivora	carni	vu	86	0	3.5	20.5		0.4					
Cheetah	Acinonyx	Carnivora	carni	lc	50	0	12.1	11.9							
Chimpanzee	Pan	Primates	omni		52.2	440	9.7	14.3	8.3	1.4	50	230	1	1	1
Chinchilla	Chinchilla	Rodentia	herbi	domesticated	0.42	6.4	12.5	11.5	11	1.5	7	112	5	4	4
Common porpoise	Phocoena	Cetacea	carni	vu	53.18	0	5.6	18.45							
Cotton rat	Sigmodon	Rodentia	herbi		0.148	1.18	11.3	12.7		1.1					
Cow	Bos	Artiodactyla	herbi	domesticated	600	423	4	20	3.2	0.7	30	281	5	5	5
Deer mouse	Peromyscus	Rodentia	herbi		0.021	0	11.5	12.5							
Degu	Octodon	Rodentia	herbi	lc	0.21	0	7.7	16.3		0.9					
Desert hedgehog	Paraechinus	Erinaceomorpha	insecti	lc	0.55	2.4	10.3	13.7	7.6	2.7			2	1	2
Dog	Canis	Carnivora	carni	domesticated	14	70	10.1	13.9		2.9					
Domestic cat	Felis	Carnivora	carni	domesticated	3.3	25.6	12.5	11.5	10.9	3.6	28	63	1	2	1
Donkey	Equus	Perissodactyla	herbi	domesticated	187	419	3.1	20.9		0.4	40	365	5	5	5
Eastern american chipmunk	Tamias	Rodentia	herbi		0.112	0	15.8	8.2							
Eastern american mole	Scalopus	Soricomorpha	insecti	lc	0.075	1.2	8.4	15.6	6.3	2.1	3.5	42	1	1	1
European hedgehog	Erinaceus	Erinaceomorpha	omni	lc	0.77	3.5	10.1	13.9	6.6	4.1	6	42	2	2	2
Galago	Galago	Primates	omni		0.2	5	9.8	14.2	9.5	1.2	10.4	120	2	2	2
Genet	Genetta	Carnivora	carni		2	17.5	6.3	17.7	4.8	1.3	34		1	2	1
Giant armadillo	Priodontes	Cingulata	insecti	en	60	81	18.1	5.9	12	6.1	7		1	1	1
Giraffe	Giraffa	Artiodactyla	herbi	cd	899.995	680	1.9	22.1		0.3	28	400	5	5	5
Goat	Capri	Artiodactyla	herbi	lc	33.5	115	5.3	18.7	3.3	0.5	20	148	5	5	5
Golden hamster	Mesocricetus	Rodentia	herbi	en	0.12	1	14.3	9.7	11	3.4	3.9	16	3	1	2
Golden-mantled ground squirrel	Spermophilus	Rodentia	herbi	lc	0.205	4	15.9	8.1	10.4	3.4	9	28	5	1	3
Gorilla	Gorilla	Primates	herbi	cr	207	406	12	12			39.3	252	1	4	1
Gray hyrax	Heterohyrax	Hyracoidea	herbi	lc	2.625	12.27	6.3	17.7		0.6					
Gray seal	Haliochoerus	Carnivora	carni	lc	85	325	6.2	17.8	4.7	1.5	41	310	1	3	1
Gray wolf	Canis	Carnivora	carni	lc	36.33	119.5	13	11			16.2	63	1	1	1
Greater short-tailed shrew	Blarina	Soricomorpha	omni	lc	0.019	0.29	14.9	9.1		2.3					
Guinea pig	Cavis	Rodentia	herbi	domesticated	0.728	5.5	9.4	14.6	7.4	0.8	7.6	68	5	3	4
Horse	Equus	Perissodactyla	herbi	domesticated	521	655	2.9	21.1	2.1	0.8	46	336	5	5	5
House mouse	Mus	Rodentia	herbi	nt	0.022	0.4	12.5	11.5	11.9	1.3	3.2	19	4	1	3
Human	Homo	Primates	omni		62	1320	8	16	6.1	1.9	100	267	1	1	1
Jaguar	Panthera	Carnivora	carni	nt	100	157	10.4	13.6			22.4	100	1	1	1
Laboratory rat	Rattus	Rodentia	herbi	lc	0.32	1.9	13	11	10.6	2.6	4.7	21	3	1	3
Lesser short-tailed shrew	Cryptotis	Soricomorpha	omni	lc	0.005	0.14	9.1	14.9	7.7	1.4	2.6	21.5	5	2	4
Lion	Panthera	Carnivora	carni	vu	161.499	0	13.5	10.5							
Little brown bat	Myotis	Chiroptera	insecti		0.01	0.25	19.9	4.1	17.9	2	24	50	1	1	1
Long-nosed armadillo	Dasypus	Cingulata	carni	lc	3.5	10.8	17.4	6.6	14.3	3.1	6.5	120	2	1	1
Macaque	Macaca	Primates	omni		6.8	179	10.1	13.9	8.4	1.2	29	164	2	3	2
Mole rat	Spalax	Rodentia	insecti		0.122	3	10.6	13.4	8.2	2.4		30	2	1	1
Mongolian gerbil	Meriones	Rodentia	herbi	lc	0.053	0	14.2	9.8		1.9					
Mongoose lemur	Lemur	Primates	herbi	vu	1.67	0	9.5	14.5		0.9					
Mountain beaver	Aplodontia	Rodentia	herbi	nt	1.35	8.1	14.4	9.6	8.4	2.8		45	3	1	3
Musk shrew	Suncus	Soricomorpha	insecti	lc	0.048	0.33	12.8	11.2	10.8	2	2	30	4	1	3
North American Opossum	Didelphis	Didelphimorphia	omni	lc	1.7	6.3	18	6	13.8	5.6	5	12	2	1	1
Northern fur seal	Callorhinus	Carnivora	carni	vu	20.49	0	8.7	15.3		1.4					
Northern grasshopper mouse	Onychomys	Rodentia	carni	lc	0.028	0	14.5	9.5							
Owl monkey	Aotus	Primates	omni		0.48	15.5	17	7	15.2	1.8	12	140	2	2	2
Patas monkey	Erythrocebus	Primates	omni	lc	10	115	10.9	13.1	10	0.9	20.2	170	4	4	4
Phalanger	Phalanger	Diprotodontia	herbi		1.62	11.4	13.7	10.3	11.9	1.8	13	17	2	1	2
Pig	Sus	Artiodactyla	omni	domesticated	86.25	180	9.1	14.9	6.5	1.9	27	115	4	4	4
Pilot whale	Globicephalus	Cetacea	carni	cd	800	0	2.7	21.35		0.1					
Potoroo	Potorous	Diprotodontia	herbi		1.1	0	11.1	12.9		1.5					
Potto	Perodicticus	Primates	omni	lc	1.1	0	11	13							
Rabbit	Oryctolagus	Lagomorpha	herbi	domesticated	2.5	12.1	8.4	15.6	7.5	0.9	18	31	5	5	5
Raccoon	Procyon	Carnivora	carni		4.288	39.2	12.5	11.5			13.7	63	2	2	2
Red fox	Vulpes	Carnivora	carni		4.23	50.4	9.8	14.2	7.4	2.4	9.8	52	1	1	1
Rock hyrax	Procavia	Hyracoidea	herbi	lc	3.6	21	5.4	18.6	4.9	0.5	6	225	3	2	3
Roe deer	Capreolus	Artiodactyla	herbi	lc	14.8	98.2	3	21			17	150	5	5	5
Round-tailed muskrat	Neofiber	Rodentia	herbi	nt	0.266	0	14.6	9.4							
Sheep	Ovis	Artiodactyla	herbi	domesticated	55.5	175	3.8	20.2	3.2	0.6	20	151	5	5	5
Short-nosed echidna	Tachyglossus	Monotremata	insecti		4.5	25	8.6	15.4	8.6		50	28	2	2	2
Slow loris	Nyctibeus	Primates	carni		1.4	12.5	11	13			12.7	90	2	2	2
Squirrel monkey	Saimiri	Primates	omni		0.743	20	9.6	14.4		1.4					
Star-nosed mole	Condylura	Soricomorpha	omni	lc	0.06	1	10.3	13.7	8.1	2.2	3.5		3	1	2
Tenrec	Tenrec	Afrosoricida	omni		0.9	2.6	15.6	8.4	11	2.3	4.5	60	2	1	2
Thick-tailed opposum	Lutreolina	Didelphimorphia	carni	lc	0.37	0	19.4	4.6		6.6					
Thirteen-lined ground squirrel	Spermophilus	Rodentia	herbi	lc	0.101	4	13.8	10.2		3.4					
Three-toed sloth	Bradypus	Pilosa	herbi		3.85	0	14.4	9.6		2.2					
Tiger	Panthera	Carnivora	carni	en	162.564	0	15.8	8.2							
Tree hyrax	Dendrohyrax	Hyracoidea	herbi	lc	2.95	12.3	5.3	18.7	4.9	0.5	7.5	200	3	1	3
Tree shrew	Tupaia	Scandentia	omni		0.104	2.5	8.9	15.1	13.2	2.6	2.3	46	3	2	2
Vervet	Cercopithecus	Primates	omni	lc	4.75	58	10	14	9.7	0.6	24	210	4	3	4
Vesper mouse	Calomys	Rodentia	herbi		0.045	0	7	17							
Vole 	Microtus	Rodentia	herbi		0.035	0	12.8	11.2							
Water opossum	Chironectes	Didelphimorphia	carni	lc	3.5	3.9	19.4	4.6	12.8	6.6	3	14	2	1	1
Western american chipmunk	Eutamias	Rodentia	herbi		0.071	0	14.9	9.1							